n,s,n_compares,time_taken_s
1000,1,3761,0.002684465143829584
1000,1,3761,0.0026303501799702644
1000,1,3761,0.0026515601202845573
1000,1,3761,0.002647081855684519
1000,1,3761,0.0026252400130033493
1000,2,3761,0.0026498669758439064
1000,2,3761,0.005024841986596584
1000,2,3761,0.0026345979422330856
1000,2,3761,0.0026632831431925297
1000,2,3761,0.003257756121456623
1000,3,3761,0.005670513026416302
1000,3,3761,0.0033420100808143616
1000,3,3761,0.004728627856820822
1000,3,3761,0.004658601712435484
1000,3,3761,0.004355003125965595
1000,4,3761,0.004994583781808615
1000,4,3761,0.0050177378579974174
1000,4,3761,0.00500546395778656
1000,4,3761,0.004908816888928413
1000,4,3761,0.005539791192859411
1000,5,3761,0.004587914794683456
1000,5,3761,0.004962981678545475
1000,5,3761,0.002520366106182337
1000,5,3761,0.0049778008833527565
1000,5,3761,0.004971989430487156
1000,6,3761,0.00457007996737957
1000,6,3761,0.004856456071138382
1000,6,3761,0.004855333361774683
1000,6,3761,0.005003349855542183
1000,6,3761,0.006620545871555805
1000,7,3761,0.004906232003122568
1000,7,3761,0.0048402040265500546
1000,7,3761,0.005076412111520767
1000,7,3761,0.005027567036449909
1000,7,3761,0.004863558802753687
1000,8,3761,0.002651580609381199
1000,8,3761,0.005018739961087704
1000,8,3761,0.0026335562579333782
1000,8,3761,0.004216544330120087
1000,8,3761,0.004983150865882635
1000,9,3761,0.004403557162731886
1000,9,3761,0.004959596320986748
1000,9,3761,0.004747143946588039
1000,9,3761,0.004229049198329449
1000,9,3761,0.004956409335136414
1000,10,3761,0.004967520944774151
1000,10,3761,0.0050036110915243626
1000,10,3761,0.004931129980832338
1000,10,3761,0.009146122261881828
1000,10,3761,0.004882094915956259
1000,11,3761,0.004953704308718443
1000,11,3761,0.004853659775108099
1000,11,3761,0.004388969391584396
1000,11,3761,0.004981858190149069
1000,11,3761,0.006680421065539122
1000,12,3761,0.0044008418917655945
1000,12,3761,0.0049962070770561695
1000,12,3761,0.004764487035572529
1000,12,3761,0.004906361922621727
1000,12,3761,0.004816017113626003
1000,13,3761,0.004319403786212206
1000,13,3761,0.0026716901920735836
1000,13,3761,0.004296700935810804
1000,13,3761,0.007468370255082846
1000,13,3761,0.0047859991900622845
1000,14,3761,0.004832419101148844
1000,14,3761,0.004008912947028875
1000,14,3761,0.0026460299268364906
1000,14,3761,0.002714934293180704
1000,14,3761,0.004852106794714928
1000,15,3761,0.004812590312212706
1000,15,3761,0.004409559071063995
1000,15,3761,0.004730811808258295
1000,15,3761,0.004718508571386337
1000,15,3761,0.004504824057221413
1000,16,3761,0.004485777113586664
1000,16,3761,0.004497929941862822
1000,16,3761,0.002640619408339262
1000,16,3761,0.005227966234087944
1000,16,3761,0.004344222601503134
1000,17,3761,0.0048795100301504135
1000,17,3761,0.004877275787293911
1000,17,3761,0.0032083801925182343
1000,17,3761,0.004633973818272352
1000,17,3761,0.0026632030494511127
1000,18,3761,0.0037227580323815346
1000,18,3761,0.002640207763761282
1000,18,3761,0.0026250691153109074
1000,18,3761,0.0026222444139420986
1000,18,3761,0.005026655737310648
1000,19,3761,0.004941178951412439
1000,19,3761,0.004100229125469923
1000,19,3761,0.006492528133094311
1000,19,3761,0.005024552345275879
1000,19,3761,0.004974734038114548
1000,20,3761,0.004996938165277243
1000,20,3761,0.005053418222814798
1000,20,3761,0.005077513866126537
1000,20,3761,0.004918055143207312
1000,20,3761,0.004964033607393503
1000,21,3761,0.00482691777870059
1000,21,3761,0.005016135051846504
1000,21,3761,0.00414441479369998
1000,21,3761,0.004970486741513014
1000,21,3761,0.005041063763201237
1000,22,3761,0.0044169132597744465
1000,22,3761,0.005032255779951811
1000,22,3761,0.004320146050304174
1000,22,3761,0.0049932911060750484
1000,22,3761,0.0049638040363788605
1000,23,3761,0.0038109179586172104
1000,23,3761,0.002642533276230097
1000,23,3761,0.002633946016430855
1000,23,3761,0.005002929363399744
1000,23,3761,0.002563689835369587
1000,24,3761,0.004172979854047298
1000,24,3761,0.002723220270127058
1000,24,3761,0.004591632168740034
1000,24,3761,0.0033233528956770897
1000,24,3761,0.0036753248423337936
1000,25,3761,0.00462489714846015
1000,25,3761,0.0033846222795546055
1000,25,3761,0.002688651904463768
1000,25,3761,0.004883076995611191
1000,25,3761,0.004125990439206362
1000,26,3761,0.004431602079421282
1000,26,3761,0.005043067038059235
1000,26,3761,0.00496933376416564
1000,26,3761,0.0042079780250787735
1000,26,3761,0.004670755937695503
1000,27,3761,0.004582724999636412
1000,27,3761,0.005024682264775038
1000,27,3761,0.00488364789634943
1000,27,3761,0.0038086138665676117
1000,27,3761,0.0049221329391002655
1000,28,3761,0.005049339961260557
1000,28,3761,0.004968492779880762
1000,28,3761,0.004981478210538626
1000,28,3761,0.0048401840031147
1000,28,3761,0.004619946703314781
1000,29,3761,0.004332148004323244
1000,29,3761,0.006278944201767445
1000,29,3761,0.004864131100475788
1000,29,3761,0.004886323120445013
1000,29,3761,0.004897685721516609
1000,30,3761,0.0049568102695047855
1000,30,3761,0.004910519812256098
1000,30,3761,0.0047513023018836975
1000,30,3761,0.0035974853672087193
1000,30,3761,0.002310448791831732
1000,31,3761,0.004218738991767168
1000,31,3761,0.004929857794195414
1000,31,3761,0.0050273858942091465
1000,31,3761,0.004832658916711807
1000,31,3761,0.003681647125631571
1000,32,3761,0.004700994119048119
1000,32,3761,0.004931751172989607
1000,32,3761,0.004936960991472006
1000,32,3761,0.005032906774431467
1000,32,3761,0.0041160802356898785
1000,33,3761,0.0035543409176170826
1000,33,3761,0.004933094140142202
1000,33,3761,0.004859301261603832
1000,33,3761,0.004935909993946552
1000,33,3761,0.0027050948701798916
1000,34,3761,0.00406517181545496
1000,34,3761,0.004817479755729437
1000,34,3761,0.003798895049840212
1000,34,3761,0.004954915959388018
1000,34,3761,0.005626960191875696
1000,35,3761,0.004873629193753004
1000,35,3761,0.005053977947682142
1000,35,3761,0.002700184937566519
1000,35,3761,0.0038626892492175102
1000,35,3761,0.005079819355159998
1000,36,3761,0.004969604779034853
1000,36,3761,0.005037786904722452
1000,36,3761,0.004865904338657856
1000,36,3761,0.0048152850940823555
1000,36,3761,0.00398830184713006
1000,37,3761,0.005065700970590115
1000,37,3761,0.0049276938661932945
1000,37,3761,0.011187720112502575
1000,37,3761,0.005018508993089199
1000,37,3761,0.0047662099823355675
1000,38,3761,0.004337809979915619
1000,38,3761,0.007347474806010723
1000,38,3761,0.004630907904356718
1000,38,3761,0.005058757960796356
1000,38,3761,0.00468609482049942
1000,39,3761,0.004812991246581078
1000,39,3761,0.0048778061755001545
1000,39,3761,0.005513289012014866
1000,39,3761,0.004885842092335224
1000,39,3761,0.004930710420012474
1000,40,3761,0.00502119492739439
1000,40,3761,0.004831115715205669
1000,40,3761,0.00472068227827549
1000,40,3761,0.004796590190380812
1000,40,3761,0.004870451986789703
1000,41,3761,0.004521246068179607
1000,41,3761,0.004489765036851168
1000,41,3761,0.004942412953823805
1000,41,3761,0.004998550750315189
1000,41,3761,0.004954865667968988
1000,42,3761,0.0038920361548662186
1000,42,3761,0.004958092235028744
1000,42,3761,0.00566475186496973
1000,42,3761,0.0042738961055874825
1000,42,3761,0.005125556606799364
1000,43,3761,0.004840885289013386
1000,43,3761,0.00626319320872426
1000,43,3761,0.004683711100369692
1000,43,3761,0.004933964926749468
1000,43,3761,0.0048560150898993015
1000,44,3761,0.004421652294695377
1000,44,3761,0.004579529166221619
1000,44,3761,0.0027841576375067234
1000,44,3761,0.00529535673558712
1000,44,3761,0.004244469106197357
1000,45,3761,0.0035649510100483894
1000,45,3761,0.004691695794463158
1000,45,3761,0.003794585820287466
1000,45,3761,0.004282202105969191
1000,45,3761,0.004496586974710226
1000,46,3761,0.004916641861200333
1000,46,3761,0.004730571061372757
1000,46,3761,0.005203308071941137
1000,46,3761,0.005026655271649361
1000,46,3761,0.0043641310185194016
1000,47,3761,0.005030592903494835
1000,47,3761,0.0038535711355507374
1000,47,3761,0.005350482650101185
1000,47,3761,0.005164883099496365
1000,47,3761,0.004064470063894987
1000,48,3761,0.005155665334314108
1000,48,3761,0.004625698085874319
1000,48,3761,0.004747995175421238
1000,48,3761,0.004350624978542328
1000,48,3761,0.004957281053066254
1000,49,3761,0.004233288113027811
1000,49,3761,0.005093604791909456
1000,49,3761,0.005045633297413588
1000,49,3761,0.004049520939588547
1000,49,3761,0.002782515250146389
1000,50,3761,0.004043458960950375
1000,50,3761,0.005040563177317381
1000,50,3761,0.00434704776853323
1000,50,3761,0.003704402130097151
1000,50,3761,0.0035970541648566723
1000,51,3761,0.004847267642617226
1000,51,3761,0.005036124028265476
1000,51,3761,0.0051361569203436375
1000,51,3761,0.004857798106968403
1000,51,3761,0.0032019480131566525
1000,52,3761,0.005332488100975752
1000,52,3761,0.005401342175900936
1000,52,3761,0.005066803190857172
1000,52,3761,0.004144926089793444
1000,52,3761,0.004918956663459539
1000,53,3761,0.004323492292314768
1000,53,3761,0.004298483952879906
1000,53,3761,0.005236081313341856
1000,53,3761,0.0026405989192426205
1000,53,3761,0.0051863547414541245
1000,54,3761,0.0036208201199769974
1000,54,3761,0.004893757868558168
1000,54,3761,0.0036452380008995533
1000,54,3761,0.0049767279997467995
1000,54,3761,0.004641058389097452
1000,55,3761,0.005130074918270111
1000,55,3761,0.004319984931498766
1000,55,3761,0.007753162179142237
1000,55,3761,0.0030383500270545483
1000,55,3761,0.0055244299583137035
1000,56,3761,0.004644704982638359
1000,56,3761,0.0025770263746380806
1000,56,3761,0.004579839296638966
1000,56,3761,0.005096430890262127
1000,56,3761,0.004797921981662512
1000,57,3761,0.0057003917172551155
1000,57,3761,0.006057684309780598
1000,57,3761,0.004725561942905188
1000,57,3761,0.004394509829580784
1000,57,3761,0.0035986066795885563
1000,58,3761,0.0049099489115178585
1000,58,3761,0.0043778568506240845
1000,58,3761,0.004679752979427576
1000,58,3761,0.005111199337989092
1000,58,3761,0.004857096821069717
1000,59,3761,0.004849982913583517
1000,59,3761,0.004366695880889893
1000,59,3761,0.005003550089895725
1000,59,3761,0.011747976299375296
1000,59,3761,0.005598945077508688
1000,60,3761,0.00472424877807498
1000,60,3761,0.004755629692226648
1000,60,3761,0.004332058597356081
1000,60,3761,0.0045648799277842045
1000,60,3761,0.004245550837367773
1000,61,3761,0.0048387311398983
1000,61,3761,0.0041422611102461815
1000,61,3761,0.004757083021104336
1000,61,3761,0.005013279151171446
1000,61,3761,0.005068807862699032
1000,62,3761,0.004808463156223297
1000,62,3761,0.004608574789017439
1000,62,3761,0.004882215987890959
1000,62,3761,0.0044739339500665665
1000,62,3761,0.004838540218770504
1000,63,3761,0.005098944995552301
1000,63,3761,0.004442452918738127
1000,63,3761,0.0022940081544220448
1000,63,3761,0.0028155287727713585
1000,63,3761,0.00897981971502304
1000,64,3761,0.004436040297150612
1000,64,3761,0.002760130912065506
1000,64,3761,0.002963515929877758
1000,64,3761,0.0047200508415699005
1000,64,3761,0.0027526570484042168
1000,65,3761,0.0053936270996928215
1000,65,3761,0.005740499123930931
1000,65,3761,0.004207757767289877
1000,65,3761,0.004370653070509434
1000,65,3761,0.003808224108070135
1000,66,3761,0.005073084961622953
1000,66,3761,0.004833280108869076
1000,66,3761,0.009325128979980946
1000,66,3761,0.004366014152765274
1000,66,3761,0.0050034900195896626
1000,67,3761,0.004880202002823353
1000,67,3761,0.002558200154453516
1000,67,3761,0.004853278864175081
1000,67,3761,0.004567835945636034
1000,67,3761,0.003924078308045864
1000,68,3761,0.004739479161798954
1000,68,3761,0.004723567049950361
1000,68,3761,0.004401924088597298
1000,68,3761,0.004462722223252058
1000,68,3761,0.004844011273235083
1000,69,3761,0.00475745415315032
1000,69,3761,0.004860663320869207
1000,69,3761,0.004930809140205383
1000,69,3761,0.004710202105343342
