n,s,trial,n_compares,time_taken_ms
1000,3,1,8697,64
1000,3,2,8740,64
1000,3,3,8685,64
1000,3,4,8681,69
1000,3,5,8704,64
1000,3,6,8699,64
1000,3,7,8722,64
1000,3,8,8703,64
1000,3,9,8716,63
1000,3,10,8697,64
1000,3,11,8688,64
1000,3,12,8701,64
1000,3,13,8735,64
1000,3,14,8676,63
1000,3,15,8740,64
1000,3,16,8743,64
1000,3,17,8705,65
1000,3,18,8719,64
1000,3,19,8706,64
1000,3,20,8741,63
1000,3,21,8676,63
1000,3,22,8692,64
1000,3,23,8713,64
1000,3,24,8682,63
1000,3,25,8723,64
1000,3,26,8711,64
1000,3,27,8722,64
1000,3,28,8725,64
1000,3,29,8712,63
1000,4,0,8746,48
1000,4,1,8737,51
1000,4,2,8748,48
1000,4,3,8717,47
1000,4,4,8761,48
1000,4,5,8769,48
1000,4,6,8762,47
1000,4,7,8794,47
1000,4,8,8765,48
1000,4,9,8790,47
1000,4,10,8773,47
1000,4,11,8749,47
1000,4,12,8751,47
1000,4,13,8806,47
1000,4,14,8739,48
1000,4,15,8780,47
1000,4,16,8822,47
1000,4,17,8735,50
1000,4,18,8777,47
1000,4,19,8759,47
1000,4,20,8823,47
1000,4,21,8759,47
1000,4,22,8768,47
1000,4,23,8783,47
1000,4,24,8723,47
1000,4,25,8790,47
1000,4,26,8786,47
1000,4,27,8762,47
1000,4,28,8791,47
1000,4,29,8776,47
1000,5,0,8746,47
1000,5,1,8737,47
1000,5,2,8748,47
1000,5,3,8717,47
1000,5,4,8761,54
1000,5,5,8769,47
1000,5,6,8762,47
1000,5,7,8794,47
1000,5,8,8765,48
1000,5,9,8790,47
1000,5,10,8773,47
1000,5,11,8749,47
1000,5,12,8751,47
1000,5,13,8806,47
1000,5,14,8739,47
1000,5,15,8780,47
1000,5,16,8822,47
1000,5,17,8735,47
1000,5,18,8777,47
1000,5,19,8759,47
1000,5,20,8823,46
1000,5,21,8759,51
1000,5,22,8768,48
1000,5,23,8783,47
1000,5,24,8723,47
1000,5,25,8790,47
1000,5,26,8786,47
1000,5,27,8762,47
1000,5,28,8791,47
1000,5,29,8776,53
1000,6,0,8746,52
1000,6,1,8737,52
1000,6,2,8748,56
1000,6,3,8717,47
1000,6,4,8761,47
1000,6,5,8769,47
1000,6,6,8762,47
1000,6,7,8794,53
1000,6,8,8765,47
1000,6,9,8790,47
