n,s,t,n_compares,time_taken_s
10000000,64,8,220099404,561.5151407951489
10000000,75,1,220098543,361.44868395943195
10000000,92,6,220099311,65.15219179121777
10000000,91,24,220101215,77.3375169141218
10000000,91,17,220099010,81.27167847612873
10000000,91,23,220103500,79.92601193860173
10000000,75,21,220100720,357.4077795301564
10000000,92,9,220098428,68.059985273052
10000000,93,4,220101201,48.0888466197066
10000000,93,2,220100017,51.24943267926574
10000000,82,28,220099726,238.18417143216357
10000000,54,14,220099929,743.9183634417132
10000000,92,14,220099937,65.59954693587497
10000000,92,25,220102173,60.24628252489492
10000000,93,1,220100919,56.959859719034284
10000000,92,19,220101004,64.78468097513542
10000000,93,24,220102603,41.72910706978291
10000000,81,29,220103390,256.7919178432785
10000000,82,27,220100330,245.21012301929295
10000000,92,18,220100805,68.03884080890566
10000000,90,3,220102333,113.97210749704391
10000000,59,3,220102879,666.02334796777
10000000,92,13,220100188,75.80661570094526
10000000,92,17,220098880,71.32094060815871
10000000,81,19,220098286,266.66648944607005
10000000,92,20,220101738,72.2206048341468
10000000,78,8,220105268,326.79875662503764
10000000,92,12,220100984,81.3011236442253
10000000,91,5,220101190,105.89848937513307
10000000,60,29,220098489,638.7795800589956
10000000,93,28,220097450,49.01178718870506
10000000,91,25,220104170,97.45865770895034
10000000,91,8,220101631,105.22343211900443
10000000,58,21,220101344,682.8912269631401
10000000,64,25,220101143,577.0457908720709
10000000,93,16,220097646,61.86608248203993
10000000,88,2,220102141,161.45434459624812
10000000,92,8,220102194,89.58474163385108
10000000,93,11,220099156,65.53930911887437
10000000,92,0,220099065,98.4563019410707
10000000,95,10,220100059,35.461719943676144
10000000,54,27,220098744,754.1448588860221
10000000,85,6,220099444,220.9586780173704
10000000,69,0,220101685,499.4260043632239
10000000,93,8,220101792,71.08502965979278
10000000,84,26,220099714,224.75011279433966
10000000,67,3,220100108,535.7602692646906
10000000,61,29,220099566,633.5166804832406
10000000,94,8,220100717,53.71199011011049
10000000,86,20,220100516,191.96500978432596
10000000,93,21,220099125,63.512053112033755
10000000,93,14,220100307,69.73708834312856
10000000,90,14,220100291,126.77745442278683
10000000,95,13,220101570,38.032348692882806
10000000,94,9,220100869,54.70050320867449
10000000,92,26,220100886,81.39793510083109
10000000,94,21,220105592,51.14651694800705
10000000,93,12,220098563,72.49567975103855
10000000,90,7,220100937,130.85165121918544
10000000,93,7,220099422,76.02787447022274
10000000,88,6,220104937,168.48029607813805
10000000,93,18,220101266,70.63687500776723
10000000,71,22,220101706,457.4920066408813
10000000,83,1,220099386,266.45437624817714
10000000,84,0,220101904,256.7228008490056
10000000,93,0,220098654,85.52816209523007
10000000,94,10,220101371,60.67917008465156
10000000,83,2,220100363,268.4933292083442
10000000,91,11,220099855,121.5848542181775
10000000,61,4,220099797,654.5906118159182
10000000,95,11,220097646,47.31448823399842
10000000,93,19,220098939,74.83008662983775
10000000,95,21,220100587,44.65767808165401
10000000,95,0,220097285,58.337274082005024
10000000,93,25,220102721,74.90367714175954
10000000,79,4,220102313,339.60936759226024
10000000,90,10,220103313,142.19670355319977
10000000,93,26,220102035,76.5556472549215
10000000,94,14,220098023,67.6418450861238
10000000,93,5,220102064,92.3108895891346
10000000,79,21,220100492,329.34334796573967
10000000,93,27,220102759,77.63622877979651
10000000,92,16,220102143,104.11077055567876
10000000,87,8,220098697,202.29995668586344
10000000,91,18,220102537,130.76869583828375
10000000,94,2,220099777,77.33727508084849
10000000,91,29,220102543,126.98123272927478
10000000,60,23,220101331,676.4951629750431
10000000,94,28,220101710,65.19723776634783
10000000,96,9,220100503,40.71191327692941
10000000,93,29,220102982,80.42483545374125
10000000,96,2,220098652,47.01699503790587
10000000,88,14,220101709,183.40550503274426
10000000,74,10,220101703,427.19225998874754
10000000,82,20,220100828,287.43823531316593
10000000,85,25,220100328,231.96903845807537
10000000,95,3,220097394,66.94498651707545
10000000,94,3,220101719,80.7981962771155
10000000,79,11,220103163,341.9312036940828
10000000,68,21,220103054,531.48527847277
10000000,94,17,220099135,75.92171242414042
10000000,95,14,220098692,61.54675405099988
10000000,92,10,220102353,118.90439936704934
10000000,87,9,220104049,208.82927109720185
10000000,93,3,220100995,101.52411902369931
10000000,92,23,220101709,111.20431935600936
10000000,80,27,220098562,320.9905548878014
10000000,95,2,220099294,74.32999631995335
10000000,95,26,220101841,61.287121842149645
10000000,97,3,220101409,35.26743698120117
10000000,94,22,220096445,81.46789382398129
10000000,95,1,220098203,78.91560927731916
10000000,96,23,220101562,45.1090885088779
10000000,95,12,220100334,73.31451039714739
10000000,96,0,220099254,62.291159817017615
10000000,75,9,220094454,425.28377420501783
10000000,95,28,220100601,65.70859527494758
10000000,95,6,220096457,79.95065171830356
10000000,73,8,220101938,462.9621860696934
10000000,71,9,220101598,497.95312961982563
10000000,89,12,220102809,180.1996814617887
10000000,95,25,220104707,70.123154215049
10000000,96,7,220099170,59.58961037406698
10000000,75,26,220101396,421.72860503196716
10000000,85,3,220103422,264.65513426903635
10000000,96,19,220100932,52.11272267811
10000000,94,16,220098572,90.79011521395296
10000000,94,15,220103434,91.52634356403723
10000000,95,20,220098715,74.07101520197466
10000000,90,22,220100080,163.37017680704594
10000000,96,11,220100756,59.773384655825794
10000000,87,29,220102191,211.90032359585166
10000000,94,0,220099634,101.65476046921685
10000000,96,5,220099458,64.69647736987099
10000000,93,17,220102034,110.11315896827728
10000000,96,6,220100102,65.56702908873558
10000000,94,13,220100699,95.65568744996563
10000000,94,11,220102548,97.79993373062462
10000000,95,16,220100393,80.03260762989521
10000000,91,27,220100391,153.37341159721836
10000000,97,16,220100085,47.447652318980545
10000000,87,16,220098640,226.87252898374572
10000000,95,29,220101517,76.59880619402975
10000000,95,4,220100981,92.587310989853
10000000,97,12,220098593,49.843401000835
10000000,85,10,220099536,271.12261544307694
10000000,96,8,220097630,71.39473683619872
10000000,96,16,220100465,68.80399343604222
10000000,98,5,220102379,43.77352639473975
10000000,95,17,220104670,89.98700070707127
10000000,63,19,220102300,658.618161807768
10000000,86,25,220102501,245.40141666214913
10000000,97,13,220100377,56.530477066058666
10000000,98,3,220102549,48.20717226481065
10000000,96,28,220100816,64.4461207757704
10000000,97,11,220101633,59.049887569155544
10000000,89,7,220100460,204.1410694560036
10000000,96,3,220100271,85.0675342893228
10000000,95,7,220103029,103.90885935677215
10000000,75,17,220099361,449.3646665327251
10000000,97,1,220100539,67.42904454888776
10000000,98,22,220101241,41.73551118187606
10000000,80,5,220099624,366.12789904512465
10000000,98,24,220096824,44.145798437763005
10000000,93,23,220101586,129.2127146772109
10000000,91,16,220098528,178.89259649207816
10000000,94,20,220098331,117.55192930717021
10000000,97,29,220100807,61.1613499391824
10000000,96,20,220100240,80.08111192472279
10000000,95,9,220099520,109.1843610657379
10000000,97,17,220098355,69.49040014203638
10000000,97,26,220099291,65.93031508661807
10000000,95,19,220103110,105.0352503596805
10000000,97,14,220100071,71.82638782123104
10000000,99,12,220102030,41.254584814887494
10000000,76,23,220104832,442.0066973948851
10000000,98,26,220104144,52.81478352798149
10000000,97,0,220099064,81.22412315383554
10000000,92,27,220102219,156.83934510080144
10000000,95,22,220100088,110.74797128140926
10000000,83,22,220101155,333.28258100384846
10000000,67,16,220101846,612.8980422359891
10000000,89,9,220098222,224.58112264797091
10000000,97,18,220099969,80.12743936432526
10000000,94,25,220102540,129.2885782942176
10000000,98,11,220098289,65.50809004995972
10000000,97,19,220100997,81.40939518623054
10000000,97,15,220103615,85.00183077994734
10000000,98,15,220101869,67.90196602605283
10000000,98,21,220103918,65.93499468686059
10000000,98,4,220100020,76.97306231316179
10000000,97,7,220100753,89.51070071384311
10000000,96,24,220099773,97.76305270986632
10000000,97,20,220102946,85.49665003316477
10000000,99,15,220102113,53.504033314064145
10000000,86,5,220099396,294.6030855770223
10000000,80,28,220099712,381.29105918109417
10000000,98,29,220100991,66.81437698099762
10000000,80,24,220099447,382.88213968416676
10000000,98,14,220098844,72.1740237781778
10000000,98,13,220098938,72.66712314030156
10000000,96,13,220101750,107.94013947062194
10000000,97,28,220100824,86.94824497494847
10000000,77,3,220105732,455.4996673851274
10000000,93,15,220103607,163.3804924772121
10000000,92,7,220098817,190.41325360210612
10000000,99,3,220102884,69.59473029524088
10000000,97,21,220101730,93.30181862972677
10000000,99,17,220099714,60.33132233005017
10000000,98,28,220103112,73.9084607232362
10000000,80,23,220098172,390.9139925050549
10000000,98,12,220098652,78.9491322869435
10000000,100,17,220101840,47.092703151050955
10000000,97,2,220099950,102.20116149215028
10000000,100,7,220100975,55.2352794399485
10000000,99,9,220103609,69.53914398001507
10000000,99,10,220099059,69.56081689801067
10000000,99,25,220103605,61.25134964007884
10000000,100,13,220103086,52.69995450694114
10000000,91,0,220100428,219.30875045992434
10000000,99,0,220100770,78.16182965319604
10000000,80,14,220100886,401.0673904255964
10000000,99,6,220099023,75.88971286220476
10000000,96,17,220099628,116.01486485730857
10000000,100,3,220099857,60.954886567313224
10000000,92,3,220098988,203.70958995772526
10000000,98,23,220100053,82.31012353207916
10000000,96,1,220101872,130.5345832859166
10000000,95,15,220100342,139.3255742089823
10000000,94,7,220100128,158.69331473764032
10000000,101,4,220102197,41.55514733400196
10000000,99,24,220099902,66.59620873583481
10000000,94,1,220098872,164.1622487870045
10000000,71,21,220102736,559.290405687876
10000000,98,18,220101505,85.99459379026666
10000000,79,15,220098145,424.2316210172139
10000000,93,10,220100805,178.75777690904215
10000000,99,28,220100460,69.4472975297831
10000000,101,6,220100831,44.484013627748936
10000000,100,6,220100383,67.76673370879143
10000000,100,15,220100183,62.37281531607732
10000000,88,10,220101488,275.51596138533205
10000000,96,12,220098933,129.90214317012578
10000000,94,18,220100066,162.97972982702777
10000000,101,17,220100883,40.83041109517217
10000000,97,24,220099946,108.98947677807882
10000000,99,14,220100661,80.65373922232538
10000000,100,19,220103046,64.3198288762942
10000000,101,1,220101771,54.283044156152755
10000000,100,28,220099571,57.500635902397335
10000000,100,27,220100505,58.28479391383007
10000000,84,27,220096461,342.73606911627576
10000000,96,29,220101019,123.25348369171843
10000000,92,22,220104691,201.88065249891952
10000000,99,4,220099095,93.37976972199976
10000000,98,17,220104352,99.68957999907434
10000000,99,7,220100034,94.29955955920741
10000000,100,26,220100755,65.14516228763387
10000000,86,24,220103492,312.1613415009342
10000000,98,7,220098886,109.46978475805372
10000000,89,19,220098108,262.63859123783186
10000000,100,18,220099143,74.72641789261252
10000000,100,20,220099971,70.38112375326455
10000000,100,0,220099815,84.40369110228494
10000000,101,10,220102218,57.281997627113014
10000000,99,23,220098579,87.51506606396288
10000000,100,21,220099970,70.31690397998318
10000000,100,11,220100102,80.44147412013263
10000000,99,5,220100913,101.02753296215087
10000000,96,15,220097091,141.04659964330494
10000000,99,8,220101978,99.51959812408313
10000000,97,5,220103781,131.09751460002735
10000000,92,29,220100722,208.18557356484234
10000000,100,16,220101816,80.18166008172557
10000000,81,24,220103984,409.7516648112796
10000000,99,22,220101631,94.23222560202703
10000000,101,14,220102993,60.90825357940048
10000000,82,26,220099443,395.938595445361
10000000,100,22,220100085,78.33596638729796
10000000,99,18,220097283,97.8489114861004
10000000,101,28,220102395,52.63551329774782
10000000,91,19,220098944,245.66730474866927
10000000,100,29,220101570,75.5171033879742
10000000,76,25,220101082,503.11553396005183
10000000,99,20,220099664,99.57254202011973
10000000,101,29,220099689,54.039152747020125
10000000,102,14,220099443,45.92723362194374
10000000,96,21,220103370,149.70675709890202
10000000,95,5,220102242,181.3438515709713
10000000,103,13,220100194,36.891422286164016
10000000,101,0,220101590,81.35173408593982
10000000,102,27,220100556,43.871081289835274
10000000,100,5,220100555,99.8183529456146
10000000,101,8,220100793,75.87569202668965
10000000,101,13,220102608,73.93991423863918
10000000,78,27,220102805,474.17297441419214
10000000,102,25,220103735,48.50024277810007
10000000,98,6,220100063,133.1408410789445
10000000,99,2,220100061,123.7969675436616
10000000,89,28,220100659,282.7879294590093
10000000,102,6,220098758,61.191433432046324
10000000,100,25,220103377,92.43750932300463
10000000,103,21,220098659,38.77148673776537
10000000,102,2,220099826,63.36793394386768
10000000,101,22,220101858,74.41062350198627
10000000,102,17,220102475,59.575208709109575
10000000,100,9,220103043,109.36190090840682
10000000,98,9,220100023,139.1963773081079
10000000,100,2,220100313,112.97903927508742
10000000,85,2,220099576,380.3849157518707
10000000,84,16,220099156,391.4536886261776
10000000,101,20,220101249,80.64729041792452
10000000,102,3,220103384,70.11499119596556
10000000,103,7,220103569,53.99563367385417
10000000,72,24,220103573,593.0658390410244
10000000,89,8,220099034,304.4254232966341
10000000,89,21,220101368,298.2739495341666
10000000,102,10,220105077,70.94104321021587
10000000,104,13,220099159,37.64445826970041
10000000,101,26,220101722,81.4001480746083
10000000,104,4,220101931,46.11131151113659
10000000,102,18,220100038,68.1563816149719
10000000,102,13,220098805,72.84191413363442
10000000,100,12,220099839,117.92055184813216
10000000,102,19,220100996,69.1928547071293
10000000,103,6,220099535,62.616904265247285
10000000,91,2,220100262,283.13016310101375
10000000,97,27,220102973,159.36620469903573
10000000,98,19,220102732,146.16416007932276
10000000,102,5,220099692,78.90127839986235
10000000,102,4,220101395,79.05060656694695
10000000,103,18,220101520,60.889799245633185
10000000,91,7,220100793,284.2233126331121
10000000,94,23,220101564,218.2183492090553
10000000,103,14,220103408,66.4544670060277
10000000,102,12,220101874,81.16608343785629
10000000,104,2,220103228,55.834822714328766
10000000,81,10,220102621,454.3774055358954
10000000,103,10,220100508,68.74821719713509
10000000,102,24,220098062,76.66452460782602
10000000,88,20,220102034,329.5870910799131
10000000,103,9,220101525,70.47182096121833
10000000,102,0,220100544,90.92508284188807
10000000,103,5,220100878,74.6284148870036
10000000,102,20,220099439,81.32309311302379
10000000,81,15,220097727,459.31854503881186
10000000,99,13,220100076,146.15117786405608
10000000,103,22,220102005,69.18748060800135
10000000,104,10,220100222,58.06702162604779
10000000,104,3,220100127,65.14828763110563
10000000,93,9,220098786,254.03192263515666
10000000,104,5,220098448,66.35697284108028
10000000,103,3,220100511,82.16595697915182
10000000,104,24,220101618,57.03713942784816
10000000,102,26,220103026,88.14027479290962
10000000,105,9,220098995,48.548394727986306
10000000,104,17,220098915,61.93132556602359
10000000,92,1,220102005,290.05922296410426
10000000,104,7,220099001,68.71518004825339
10000000,103,17,220100536,82.27198033686727
10000000,98,25,220102179,166.0341592351906
10000000,104,15,220101238,66.25830203993246
10000000,103,29,220101095,79.01709049986675
10000000,101,11,220099229,125.3120984248817
10000000,103,26,220101447,81.49472028203309
10000000,103,28,220097015,81.12581839365885
10000000,104,0,220104450,79.84063990600407
10000000,101,9,220102752,128.2710716552101
10000000,100,8,220102506,152.01755317300558
10000000,104,29,220100979,65.32994101382792
10000000,91,9,220101157,312.6175376069732
10000000,104,11,220103855,75.76885376730934
10000000,105,25,220101410,51.17458255495876
10000000,104,28,220099989,69.06946722511202
10000000,105,22,220100873,52.27027095388621
10000000,73,9,220100597,626.7403361932375
10000000,105,12,220102763,60.274886031169444
10000000,104,21,220098409,75.53919768938795
10000000,104,14,220100105,77.80049039889127
10000000,105,21,220099384,55.445623598992825
10000000,106,11,220100052,43.037749452050775
10000000,105,19,220099391,59.573034461122006
10000000,101,15,220099769,133.35866012983024
10000000,104,1,220101510,89.60750244418159
10000000,90,2,220102389,337.197688090615
10000000,105,8,220102547,68.7292673131451
10000000,104,26,220100456,76.20733005506918
10000000,104,20,220102207,80.84419461293146
10000000,105,23,220101960,58.63705831207335
10000000,71,5,220098049,671.0417749648914
10000000,106,6,220098150,51.07586516300216
10000000,104,27,220101731,77.04538769694045
10000000,102,1,220100682,123.99672019481659
10000000,105,11,220102164,71.85405709221959
10000000,105,1,220103097,77.08766384189948
10000000,94,26,220096841,257.6313035544008
10000000,102,15,220102685,118.82158434391022
10000000,104,16,220103697,87.80427508382127
10000000,104,9,220100626,92.48391230870038
10000000,80,7,220099231,515.4952387548983
